Code;Node
CN;Champlain
AY;Albany
NG;Newburg
NK;NewYork
HS;Highgate Springs
DL;Derby Line
SJ;St. Johnsbury
WR;White River
SD;Springfield
HD;Hartford
NH;NewHaven
CD;Concord
SE;Sturbridge
PE;Providence
RG;Reading
WN;Weston
CT;Canton
HN;Houlton
BR;Bangor
BN;Boston
